age,lag_days,tau,K,exp_K
0.5,762.1773457583524,4.699411412533392,5.216757721763537,184.3355469889083
0.5,794.2496008340909,4.74026236100046,5.262105847762588,192.88725510348553
0.5,827.6714493494242,4.781128024531377,5.307470308769626,201.83899169804707
0.5,862.4996818994599,4.822007818895898,5.352850456237978,211.20948402345573
0.5,898.7934788150566,4.862901182675745,5.398245666944248,221.01833611987684
0.5,936.6145107223815,4.9038075764040325,5.443655342033006,231.28606986711588
0.5,976.0270433339847,4.944726481734779,5.489078906094874,242.03416795689964
0.5,1017.0980466494655,4.985657400641646,5.534515806277053,253.28511887708765
0.5,1059.89730875128,5.026599854645041,5.579965511425345,265.0624640020063
0.5,1104.4975543890419,5.067553384066753,5.625427511256726,277.3908468875127
0.5,1150.974568553834,5.1085175473112825,5.670901315561568,290.2960648740158
0.5,1199.4073252524952,5.14949192017306,5.716386453434581,303.8051231055058
0.5,1249.8781217007058,5.190476095168732,5.761882472533603,317.94629107771095
0.5,1302.472718162878,5.2314696808937375,5.807388938365334,332.7491618337908
0.5,1357.2804836764876,5.272472301402392,5.852905433597182,348.2447139315221
0.5,1414.3945479084566,5.313483595610734,5.898431557394363,364.4653763117378
0.5,1473.9119594016026,5.354503216721356,5.9439669247814235,381.44509620384696
0.5,1535.933850480083,5.395530831669548,5.989511166027402,399.21941021063896
0.5,1600.5656090940097,5.436566120589991,6.035063926053814,417.8255187212122
0.5,1667.9170578952617,5.4776087763033425,6.080624863864723,437.3023638078581
0.5,1738.1026408487496,5.518658503822018,6.126193651998107,457.69071077000206
0.5,1811.2416176962565,5.55971501987453,6.171769975997837,479.0332334959685
0.5,1825.0,5.567253396178763,6.180138233071432,483.0587264291992
0.5,1887.458266603275,5.600778052447735,6.217353533905531,501.3746038213094
0.5,1966.8820953331624,5.641847340346356,6.262944035771585,524.7615850708063
0.5,2049.6480613074755,5.682922632769197,6.308541203184735,549.2431299800338
0.5,2135.8968009263863,5.724003688901447,6.354144768819475,574.8704832015222
0.5,2225.77486853886,5.765090277522507,6.399754476000718,601.6972886101726
0.5,2319.434985468627,5.806182176628782,6.445370078285054,629.7797016326117
0.5,2417.03629951913,5.847279173070913,6.490991339058048,659.1765068357136
0.5,2518.744655398385,5.888381062204911,6.536618031146976,689.9492410205149
0.5,2624.7328765232382,5.929487647556707,6.5822499364484335,722.1623220792682
0.5,2735.1810586819056,5.970598740499613,6.627886845570298,755.8831838854837
0.5,2850.2768760537683,6.01171415994424,6.67352855748751,791.1824174993976
0.5,2970.2159001063915,6.052833732040389,6.71917487921114,828.1339189845493
0.5,3095.2019319116835,6.093957289890505,6.764825625470304,866.8150441450124
0.5,3225.4473484458313,6.135084673274235,6.810480618406396,907.3067705072783
0.5,3361.1734634614786,6.176215728383701,6.856139687279218,949.6938668859905
0.5,3502.610903545296,6.217350307569075,6.901802668184547,994.0650708886016
0.5,3650.0,6.258488269094068,6.947469403782702,1040.5132747306272
2.0,0.0,0.0,0.0,1.0
2.0,1.0,0.13353139262452263,0.14617599687214528,1.1573998688834206
2.0,1.04207978005936,0.13877757979574964,0.1519189658059624,1.1640659034677718
2.0,1.085930268008564,0.1442153983329276,0.1578717124212616,1.1710159582691906
2.0,1.1316259748461663,0.14985075141373838,0.164040698890461,1.178262268083882
2.0,1.179244546977152,0.15568964362420476,0.1704324983970677,1.1858176046431004
2.0,1.22886689815015,0.16173817670785368,0.17705379048231296,1.1936953008462086
2.0,1.2805773469465365,0.16800254480307233,0.18391135583151524,1.2019092761256112
2.0,1.3344637600550455,0.17448902915159026,0.19101207048148772,1.2104740629978876
2.0,1.3906177015753483,0.18120399226263023,0.1983628994320703,1.2194048348580204
2.0,1.4491345886042917,0.1881538715191507,0.20597088964692226,1.2287174350763237
2.0,1.5101138533691716,0.1953451722147602,0.21384316243107518,1.2384284074604972
2.0,1.5736591121835388,0.2027844600123307,0.2219869051754233,1.2485550281481674
2.0,1.63987834151263,0.21047835281806931,0.23040936246131943,1.2591153389983507
2.0,1.7088840614475895,0.21843351206783565,0.23911782652176022,1.2701281825534714
2.0,1.78079352690025,0.22665663342580755,0.24811962705927235,1.2816132386469021
2.0,1.8557289268433443,0.23515443689919577,0.2574221204245515,1.2935910627344818
2.0,1.9338175919347047,0.24393365637657694,0.2670326781641393,1.3060831260320755
2.0,2.0151922108782383,0.2530010286015404,0.2769586749499425,1.3191118575450358
