age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
4.4,-1.0700641095638275,-1.616810917854309,0.5467468082904816,-1.3226190150162715,-0.5111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
4.5,-1.0690378695726395,-1.616810917854309,0.5477730482816696,-1.323118186750058,-0.5,lambda0/beta are single scalars shared across heads (not per-head)
4.6000000000000005,-1.0680116295814515,-1.616810917854309,0.5487992882728576,-1.3236173584838449,-0.4888888888888888,lambda0/beta are single scalars shared across heads (not per-head)
4.7,-1.0669853895902635,-1.616810917854309,0.5498255282640456,-1.3241165302176312,-0.47777777777777775,lambda0/beta are single scalars shared across heads (not per-head)
4.800000000000001,-1.0659591495990752,-1.616810917854309,0.5508517682552339,-1.324615701951418,-0.46666666666666656,lambda0/beta are single scalars shared across heads (not per-head)
4.9,-1.0649329096078872,-1.616810917854309,0.5518780082464219,-1.3251148736852043,-0.4555555555555555,lambda0/beta are single scalars shared across heads (not per-head)
5.0,-1.0639066696166992,-1.616810917854309,0.5529042482376099,-1.325614045418991,-0.4444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
5.1000000000000005,-1.0628804296255112,-1.616810917854309,0.5539304882287979,-1.3261132171527776,-0.4333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
5.2,-1.0618541896343232,-1.616810917854309,0.5549567282199859,-1.3266123888865642,-0.4222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
5.300000000000001,-1.060827949643135,-1.616810917854309,0.5559829682111741,-1.3271115606203507,-0.41111111111111104,lambda0/beta are single scalars shared across heads (not per-head)
5.4,-1.059801709651947,-1.616810917854309,0.5570092082023621,-1.3276107323541373,-0.39999999999999997,lambda0/beta are single scalars shared across heads (not per-head)
5.5,-1.058775469660759,-1.616810917854309,0.5580354481935501,-1.3281099040879238,-0.3888888888888889,lambda0/beta are single scalars shared across heads (not per-head)
5.6000000000000005,-1.057749229669571,-1.616810917854309,0.5590616881847381,-1.3286090758217104,-0.3777777777777777,lambda0/beta are single scalars shared across heads (not per-head)
5.7,-1.056722989678383,-1.616810917854309,0.5600879281759261,-1.329108247555497,-0.36666666666666664,lambda0/beta are single scalars shared across heads (not per-head)
5.800000000000001,-1.0556967496871947,-1.616810917854309,0.5611141681671143,-1.3296074192892835,-0.35555555555555546,lambda0/beta are single scalars shared across heads (not per-head)
5.9,-1.0546705096960067,-1.616810917854309,0.5621404081583024,-1.33010659102307,-0.3444444444444444,lambda0/beta are single scalars shared across heads (not per-head)
6.0,-1.0536442697048187,-1.616810917854309,0.5631666481494904,-1.3306057627568566,-0.3333333333333333,lambda0/beta are single scalars shared across heads (not per-head)
6.1000000000000005,-1.0526180297136307,-1.616810917854309,0.5641928881406784,-1.3311049344906434,-0.3222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
6.2,-1.0515917897224427,-1.616810917854309,0.5652191281318664,-1.33160410622443,-0.3111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
