task,model,seed,BCE,AUROC,AUPRC,accuracy,pair_accuracy,same_prediction_rate,n_pairs,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_shuffle_mean,pair_accuracy_correct_age,pair_accuracy_shuffled_age
T1,no_age,2,0.6931813359260559,0.5,0.5,0.5,0.0,1.0,868,1.0,,,0.5,81156,2,0.6931812553430483,0.6931812553430483,0.6931812553430483,0.0,0.0,0.0,0.0
T1,temporal_only,2,0.6931810975074768,0.49999999999999994,0.49999999999999994,0.5,0.0,1.0,868,1.0,,0.04135671257972717,0.5,81156,2,0.6931810672931408,0.6931810672931408,0.6931810672931408,0.0,0.0,0.0,0.0
T1,late_age,2,0.6931818127632141,0.5000019909108284,0.5012178095937055,0.4988479262672811,0.004608294930875576,0.988479262672811,868,1.0,,,0.5,81156,2,0.6931817757506524,0.6931817690210957,0.693182468002293,-6.729556668189264e-09,6.922516405307752e-07,0.004608294930875576,0.002304147465437788
T1,age_temporal,2,0.0019381323363631964,1.0,1.0,1.0,1.0,0.0,868,1.0,0.9673789143562317,-0.15587536990642548,0.5,81156,4,0.0019381329716876817,1.111799986234733,4.380099757046407,1.1098618532630453,4.378161624074719,1.0,0.2557603686635945
T2,no_age,2,0.6931641697883606,0.5,0.49999999999999994,0.5,0.0,1.0,868,-1.0,,,0.5,81156,7,0.6931642122601035,0.6931642122601035,0.6931642122601035,0.0,0.0,0.0,0.0
T2,temporal_only,2,0.693164587020874,0.5,0.5,0.5,0.0,1.0,868,-1.0,,-0.07632692158222198,0.5,81156,7,0.6931646051838102,0.6931646051838102,0.6931646051838102,0.0,0.0,0.0,0.0
T2,late_age,2,0.6931726932525635,0.5017765560959034,0.49513148612665103,0.5040322580645161,0.03571428571428571,0.9366359447004609,868,-1.0,,,0.5,81156,7,0.6931726826088769,0.693172467297398,0.6931681283127328,-2.1531147890925956e-07,-4.554296144142679e-06,0.03571428571428571,0.018433179723502304
T2,age_temporal,2,4.3876818267563067e-07,1.0,1.0,1.0,1.0,0.0,868,-1.0,-1.4245707988739014,-0.29692932963371277,0.5,81156,16,5.485124761809081e-07,1.2784053911427482,7.90709901794546,1.2784048426302719,7.907098469432984,1.0,0.2557603686635945
T1,no_age,3,0.6931679844856262,0.5,0.5,0.5,0.0,1.0,868,1.0,,,0.5,81156,10,0.6931679426319038,0.6931679426319038,0.6931679426319038,0.0,0.0,0.0,0.0
T1,temporal_only,3,0.6931676864624023,0.5,0.49999999999999994,0.5,0.0,1.0,868,1.0,,-0.0011928225867450237,0.5,81156,10,0.693167686874416,0.693167686874416,0.693167686874416,0.0,0.0,0.0,0.0
T1,late_age,3,0.6931495666503906,0.49995619996177454,0.5052989675816779,0.5092165898617511,0.1175115207373272,0.783410138248848,868,1.0,,,0.5,81156,18,0.6931495508565332,0.6931494645053341,0.6931419146637763,-8.635119908416326e-08,-7.636192756863782e-06,0.1175115207373272,0.06221198156682028
T1,age_temporal,3,8.59016381582478e-06,1.0,1.0,1.0,1.0,0.0,868,1.0,1.155292272567749,-0.1993684619665146,0.5,81156,8,8.641093188977748e-06,1.0050911184995541,7.24654822735945,1.005082477406365,7.246539586266261,1.0,0.25806451612903225
T2,no_age,3,0.6931548714637756,0.5,0.49999999999999994,0.5,0.0,1.0,868,-1.0,,,0.5,81156,14,0.6931548517557883,0.6931548517557883,0.6931548517557883,0.0,0.0,0.0,0.0
T2,temporal_only,3,0.6931546330451965,0.5,0.5,0.5,0.0,1.0,868,-1.0,,-0.02969178557395935,0.5,81156,14,0.6931546391910671,0.6931546391910671,0.6931546391910671,0.0,0.0,0.0,0.0
T2,late_age,3,0.6931548118591309,0.500024554566884,0.5014728687371961,0.5023041474654378,0.0069124423963133645,0.9907834101382489,868,-1.0,,,0.5,81156,14,0.693154788340017,0.6931547906404266,0.6931554774672205,2.300409677391228e-09,6.891272035062588e-07,0.0069124423963133645,0.001152073732718894
T2,age_temporal,3,1.323492710980645e-06,1.0,1.0,1.0,1.0,0.0,868,-1.0,-1.3677430152893066,-0.2422729730606079,0.5,81156,16,1.4384536943371388e-06,2.375050501398495,7.9726576139642145,2.3750490629448002,7.9726561755105205,1.0,0.25806451612903225
T1,no_age,4,0.6931498050689697,0.5,0.5,0.5,0.0,1.0,868,1.0,,,0.5,81156,22,0.6931498410171627,0.6931498410171627,0.6931498410171627,0.0,0.0,0.0,0.0
T1,temporal_only,4,0.6931504011154175,0.5,0.5,0.5,0.0,1.0,868,1.0,,-0.017715634778141975,0.5,81156,22,0.6931503976819702,0.6931503976819702,0.6931503976819702,0.0,0.0,0.0,0.0
T1,late_age,4,0.6931495666503906,0.49968344517827945,0.49903991963093364,0.505184331797235,0.019585253456221197,0.9711981566820277,868,1.0,,,0.5,81156,23,0.6931495429252699,0.693149536470389,0.6931522877946976,-6.454880885814192e-09,2.7448694277468916e-06,0.019585253456221197,0.0069124423963133645
T1,age_temporal,4,0.0008266636286862195,1.0,1.0,0.9994239631336406,0.9988479262672811,0.001152073732718894,868,1.0,1.3378971815109253,-0.2458910346031189,0.5,81156,11,0.0008267689843006804,4.074483591466023,7.776459206623515,4.073656822481722,7.7756324376392145,0.9988479262672811,0.2511520737327189
T2,no_age,4,0.6931515336036682,0.5,0.5,0.5,0.0,1.0,868,-1.0,,,0.5,81156,16,0.6931515319556135,0.6931515319556135,0.6931515319556135,0.0,0.0,0.0,0.0
T2,temporal_only,4,0.6931482553482056,0.5,0.49999999999999994,0.5,0.0,1.0,868,-1.0,,-0.04793969541788101,0.5,81156,23,0.6931482372882729,0.6931482372882729,0.6931482372882729,0.0,0.0,0.0,0.0
