task,model,seed,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_shuffle_mean,delta_constant_se,delta_shuffle_se,delta_constant_median,delta_shuffle_median,delta_constant_frac_pos,delta_shuffle_frac_pos
T1,late_age,2,0.2164511684803174,0.2165241771980963,0.2164432821766486,7.30087177789204e-05,-7.886303668711676e-06,3.430486900742433e-05,4.937288324011325e-05,-2.0613661035895348e-06,-1.9739381968975067e-06,0.4809590973201692,0.4823695345557123
T1,age_temporal,2,0.17748789709453,1.756760274597428,1.9820114773841035,1.5792723775028978,1.8045235802895736,0.066875145198635,0.0764829014926319,0.076410920577473,0.0872053918428719,0.814527503526093,0.693935119887165
T2,no_age,2,0.6930622117980074,0.6930622117980074,0.6930622117980074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,2,0.2189594541373307,0.2189594541373307,0.2189594541373307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,2,0.693080289029268,0.6931007197192425,0.6930651884573303,2.0430689974463373e-05,-1.5100571937722447e-05,3.169891919783735e-05,4.420393814389195e-05,-1.4603137969970703e-06,1.0371208190917969e-05,0.4992947813822285,0.5056417489421721
T2,age_temporal,2,0.1961212700395135,1.4230812594177953,2.044982725316788,1.226959989378282,1.8488614552772749,0.0625698044439004,0.0842196060916363,0.061221755517181,0.1020828860346227,0.8300423131170663,0.7242595204513399
T0,no_age,3,0.1520415920502793,0.1520415920502793,0.1520415920502793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,3,0.1423771780805016,0.1423771780805016,0.1423771780805016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,3,0.1494060873733803,0.1493565750272047,0.149341956162532,-4.951234617556559e-05,-6.413121084827218e-05,2.90044051343762e-05,3.993468809351773e-05,5.96055542700924e-08,8.941060514189304e-08,0.5007052186177715,0.5063469675599436
T0,age_temporal,3,0.1447457964780124,0.144298106655656,0.1444268436332222,-0.0004476898223564,-0.0003189528447902,0.0003865198710562,0.0004865131741507,0.0,2.98027771350462e-08,0.4922425952045134,0.5
T1,no_age,3,0.6972419837718286,0.6972419837718286,0.6972419837718286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,3,0.2430426022475149,0.2430426022475149,0.2430426022475149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,3,0.6973113489083747,0.6972930968564387,0.6973399748166627,-1.8252051935881923e-05,2.862590828802757e-05,5.2915670189239504e-05,7.531781827408049e-05,-0.0001541674137115,2.80141830444336e-06,0.4816643159379407,0.5007052186177715
T1,age_temporal,3,0.2147584573670643,1.7521094028426107,2.094355347169408,1.5373509454755463,1.879596889802344,0.072330873804847,0.0815792853030142,0.1068450808525085,0.1897799968719482,0.8229901269393513,0.7235543018335684
T2,no_age,3,0.2689190033340678,0.2689190033340678,0.2689190033340678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,3,0.2408121586179594,0.2408121586179594,0.2408121586179594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,3,0.252908706339109,0.253043264210387,0.2530711651152481,0.000134557871278,0.000162458776139,6.687614792582885e-05,9.845223448789956e-05,-3.0314549803733826e-07,-8.111586794257164e-06,0.4992947813822285,0.4788434414668547
T2,age_temporal,3,0.1918758015271267,1.890496419685609,2.4754933620542365,1.6986206181584822,2.28361756052711,0.0854825194482068,0.0990041157321534,0.0133707288478035,0.0954660419374704,0.7905500705218618,0.7059238363892807
T0,no_age,4,0.1450137563921853,0.1450137563921853,0.1450137563921853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,4,0.1474055628222589,0.1474055628222589,0.1474055628222589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,4,0.1418334667677747,0.1418230380053737,0.1418288040568051,-1.0428762401054168e-05,-4.662710969630735e-06,3.549599061110365e-05,4.825538404069086e-05,5.960464477539064e-08,5.960828275419773e-08,0.5007052186177715,0.5035260930888575
T0,age_temporal,4,0.1530235072439816,0.1529095100240633,0.1531155099189516,-0.0001139972199182,9.200267497006188e-05,0.0004455244094248,0.0006359965703987,-3.576299150154228e-07,4.768414783029584e-07,0.4802538787023977,0.5239774330042313
T1,no_age,4,0.2374867078805717,0.2374867078805717,0.2374867078805717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,4,0.2369719626036996,0.2369719626036996,0.2369719626036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,4,0.2577657199368416,0.2581986029060288,0.2582170353623474,0.0004328829691871,0.0004513154255057,0.0001008200449407,0.0001486839250945,-1.0611489415168762e-05,5.764886736869812e-07,0.4816643159379407,0.5021156558533145
T1,age_temporal,4,0.2482639842970451,1.2794015083100727,1.6612591721933725,1.0311375240130274,1.4129951878963274,0.04879019839704,0.062030469866889,0.1499926019459962,0.2076838798820972,0.8363892806770099,0.7362482369534555
T2,no_age,4,0.2328768391683481,0.2328768391683481,0.2328768391683481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,4,0.245151551878927,0.245151551878927,0.245151551878927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,4,0.2418144933061635,0.2416945932122287,0.2417833165441145,-0.0001199000939348,-3.1176762048999696e-05,8.186714083458939e-05,0.0001106484409246,-1.7939601093530658e-07,1.1955853551626205e-07,0.4992947813822285,0.5021156558533145
T2,age_temporal,4,0.2142284548511806,0.6408265110617046,1.3033654326221018,0.4265980562105239,1.0891369777709212,0.0234951892375659,0.0578253743632734,0.0472510001272894,0.0421962583604909,0.7863187588152327,0.6840620592383639
