task,model,seed,BCE,AUROC,AUPRC,accuracy,beta_true,beta_hat,lambda0_hat,lambda0_true,n_params,best_epoch,attn_pearson,attn_spearman,attn_mae,attn_js,correct_BCE,constant_age_BCE,shuffled_age_BCE,delta_constant_mean,delta_constant_se,delta_constant_median,delta_constant_frac_pos,delta_shuffle_mean,delta_shuffle_se,delta_shuffle_median,delta_shuffle_frac_pos
T0,no_age,2,0.1321178078651428,0.9907362611765128,0.990592130368992,0.9379407616361072,0.0,,,0.5,81156,26,0.0138256873394396,0.0090670965142051,0.1175357231031675,0.0801559504883565,0.132117817207498,0.132117817207498,0.132117817207498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,2,0.1434062719345092,0.98815205034632,0.9879791893841982,0.9365303244005642,0.0,,0.7935760617256165,0.5,81156,13,-0.0007493035698476,-0.0087782926993082,0.1252298326721826,0.0827222864679883,0.1434062801852051,0.1434062801852051,0.1434062801852051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,2,0.1526449918746948,0.98699930915165,0.9863329241914368,0.9344146685472496,0.0,,,0.5,81156,14,0.0091454249530168,0.0100544025790852,0.1287428061734654,0.0851525310945075,0.152645002592358,0.1526253647907889,0.152623675245796,-1.963780156916297e-05,2.0833654236493067e-05,0.0,0.4950634696755994,-2.132734656202566e-05,2.958430733896548e-05,0.0,0.4880112834978843
T0,age_temporal,2,0.152279794216156,0.988590052181946,0.988404494231011,0.9322990126939352,0.0,0.0763014480471611,0.6876797676086426,0.5,81156,9,0.0032713647231022,0.0032675129290079,0.1224110026308948,0.0726595193153989,0.1522798017826112,0.1519646056554066,0.1517883235866657,-0.0003151961272045,0.0003029999325162,1.788150711945491e-07,0.5091678420310296,-0.0004914781959455,0.0004732724095361,8.940787665778772e-08,0.5021156558533145
T1,no_age,2,0.2068713158369064,0.9743036211699164,0.9769695543979052,0.9069111424541608,1.0,,,0.5,81156,30,0.0094007067517473,0.01329505003694,0.1061819148553157,0.1026881079798944,0.2068713283789846,0.2068713283789846,0.2068713283789846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,2,0.2137595117092132,0.972984480700358,0.975073691708469,0.91114245416079,1.0,,1.2939187288284302,0.5,81156,21,0.0144038728918449,0.0135267647256363,0.1211418308021151,0.0888074641066944,0.2137595086553737,0.2137595086553737,0.2137595086553737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,2,0.2164511531591415,0.9722542777556704,0.974519042191091,0.9076163610719324,1.0,,,0.5,81156,17,-0.0003730700592605,3.358183894149781e-05,0.1161704737716124,0.1167472401003254,0.2164511684803174,0.2165241771980963,0.2164432821766486,7.30087177789204e-05,3.430486900742433e-05,-2.0613661035895348e-06,0.4809590973201692,-7.886303668711676e-06,4.937288324011325e-05,-1.9739381968975067e-06,0.4823695345557123
T1,age_temporal,2,0.1774882376194,0.982932749701552,0.9793442792378452,0.9386459802538788,1.0,3.3333070278167725,0.9095950722694396,0.5,81156,24,0.0054176916762237,0.0034051984686681,0.1106647378309897,0.0840704933227309,0.17748789709453,1.756760274597428,1.9820114773841035,1.5792723775028978,0.066875145198635,0.076410920577473,0.814527503526093,1.8045235802895736,0.0764829014926319,0.0872053918428719,0.693935119887165
T2,no_age,2,0.6930621862411499,0.4890704666495317,0.4815582731238496,0.5176304654442877,-1.0,,,0.5,81156,1,-0.0014598906370039,-0.0045839210155148,0.049592222976991,0.0129187707927776,0.6930622117980074,0.6930622117980074,0.6930622117980074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,temporal_only,2,0.2189594507217407,0.9699619643074178,0.9681452324617086,0.8913963328631875,-1.0,,1.4631516933441162,0.5,81156,23,-0.0051680618423879,-0.014393176170327,0.130380081340186,0.0900357592694526,0.2189594541373307,0.2189594541373307,0.2189594541373307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,late_age,2,0.6930803060531616,0.4881937927503054,0.4811462361500714,0.5183356840620592,-1.0,,,0.5,81156,1,-0.0014622062637644,-0.0045839210155148,0.049590967871178,0.0129178496706369,0.693080289029268,0.6931007197192425,0.6930651884573303,2.0430689974463373e-05,3.169891919783735e-05,-1.4603137969970703e-06,0.4992947813822285,-1.5100571937722447e-05,4.420393814389195e-05,1.0371208190917969e-05,0.5056417489421721
T2,age_temporal,2,0.1961212754249572,0.9867203828674012,0.986554202050135,0.921015514809591,-1.0,-2.089129686355591,0.393395721912384,0.5,81156,18,-0.0002078037248625,0.0016253610047686,0.0948891198522779,0.0560996223076324,0.1961212700395135,1.4230812594177953,2.044982725316788,1.226959989378282,0.0625698044439004,0.061221755517181,0.8300423131170663,1.8488614552772749,0.0842196060916363,0.1020828860346227,0.7242595204513399
T0,no_age,3,0.1520415842533111,0.9871088096105566,0.9870539057743796,0.930888575458392,0.0,,,0.5,81156,17,-0.0020661464459111,-0.0048995903015649,0.111359304631175,0.0657893398262475,0.1520415920502793,0.1520415920502793,0.1520415920502793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,temporal_only,3,0.1423771679401397,0.9884805517230396,0.9882850543074768,0.933709449929478,0.0,,0.8328410983085632,0.5,81156,13,0.0030324257010961,0.0026126670696487,0.144383768442433,0.1071302698958421,0.1423771780805016,0.1423771780805016,0.1423771780805016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,late_age,3,0.1494060903787613,0.9889942084211826,0.9887054012443448,0.9407616361071932,0.0,,,0.5,81156,11,-0.0069250709686171,-0.0106890993350795,0.0987564863997965,0.0540981436375925,0.1494060873733803,0.1493565750272047,0.149341956162532,-4.951234617556559e-05,2.90044051343762e-05,5.96055542700924e-08,0.5007052186177715,-6.413121084827218e-05,3.993468809351773e-05,8.941060514189304e-08,0.5063469675599436
T0,age_temporal,3,0.1447457820177078,0.9885263428240368,0.9882494141261812,0.9365303244005642,0.0,0.0927571728825569,0.8090118765830994,0.5,81156,12,0.003259842820514,-0.0013096917187185,0.1260341602877787,0.0775050253957326,0.1447457964780124,0.144298106655656,0.1444268436332222,-0.0004476898223564,0.0003865198710562,0.0,0.4922425952045134,-0.0003189528447902,0.0004865131741507,2.98027771350462e-08,0.5
T1,no_age,3,0.697242021560669,0.4741116195781933,0.4867594332351597,0.501410437235543,1.0,,,0.5,81156,4,-0.0133423815193536,-2.35072872590521e-05,0.1071290366229411,0.0569274648242115,0.6972419837718286,0.6972419837718286,0.6972419837718286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,temporal_only,3,0.2430426180362701,0.9670851571826504,0.9695447796690462,0.8808180535966149,1.0,,2.079678058624268,0.5,81156,13,0.0265640688474454,0.0237793001544764,0.1299231150189621,0.0963599633870261,0.2430426022475149,0.2430426022475149,0.2430426022475149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,late_age,3,0.6973114013671875,0.4707530839633904,0.4850731730853421,0.4978843441466855,1.0,,,0.5,81156,4,-0.0133588821982949,-2.35072872590521e-05,0.1040963812639291,0.0540358493631781,0.6973113489083747,0.6972930968564387,0.6973399748166627,-1.8252051935881923e-05,5.2915670189239504e-05,-0.0001541674137115,0.4816643159379407,2.862590828802757e-05,7.531781827408049e-05,2.80141830444336e-06,0.5007052186177715
T1,age_temporal,3,0.214758351445198,0.977216474333466,0.97914592008986,0.916784203102962,1.0,2.345796823501587,0.6371111869812012,0.5,81156,21,0.0087514680545076,0.0094801531331855,0.0831176834724825,0.0509665710765725,0.2147584573670643,1.7521094028426107,2.094355347169408,1.5373509454755463,0.072330873804847,0.1068450808525085,0.8229901269393513,1.879596889802344,0.0815792853030142,0.1897799968719482,0.7235543018335684
